名称,指定者,声明,NOTE,类/接口,抛出,
toString,,public String toString(),"返回该对象的字符串表示。通常，toString 方法会返回一个“以文本方式表示”此对象的字符串。结果应是一个简明但易于读懂。建议所有子类都重写此方法。 
Object 类的 toString 方法返回一个字符串，该字符串由类名（对象是该类的一个实例）、at 标记符“@”和此对象哈希代码的无符号十六进制表示组成。换句话说，该方法返回一个字符串，它的值等于： 

getClass().getName() + '@' + Integer.toHexString(hashCode())",Object,,
notify,,public final void notify(),"唤醒在此对象监视器上等待的单个线程。如果所有线程都在此对象上等待，则会选择唤醒其中一个线程。选择是任意性的，并在对实现做出决定时发生。线程通过调用其中一个 wait 方法，在对象的监视器上等待。 
直到当前的线程放弃此对象上的锁定，才能继续执行被唤醒的线程。被唤醒的线程将以常规方式与在该对象上主动同步的其他所有线程进行竞争；例如，唤醒的线程在作为锁定此对象的下一个线程方面没有可靠的特权或劣势。 

此方法只应由作为此对象监视器的所有者的线程来调用。通过以下三种方法之一，线程可以成为此对象监视器的所有者： 

·通过执行此对象的同步 (Sychronized) 实例方法。 
·通过执行在此对象上进行同步的 synchronized 语句的正文。 
·对于 Class 类型的对象，可以通过执行该类的同步静态方法。 
一次只能有一个线程拥有对象的监视器。
",Object,IllegalMonitorStateException - 如果当前的线程不是此对象监视器的所有者。,
notifyAll,,public final void notifyAll(),"唤醒在此对象监视器上等待的所有线程。线程通过调用其中一个 wait 方法，在对象的监视器上等待。 
直到当前的线程放弃此对象上的锁定，才能继续执行被唤醒的线程。被唤醒的线程将以常规方式与在该对象上主动同步的其他所有线程进行竞争；例如，唤醒的线程在作为锁定此对象的下一个线程方面没有可靠的特权或劣势。 

此方法只应由作为此对象监视器的所有者的线程来调用。请参阅 notify 方法，了解线程能够成为监视器所有者的方法的描述。",Object,IllegalMonitorStateException - 如果当前的线程不是此对象监视器的所有者。,
wait,,public final void wait(long timeout),"导致当前的线程等待，直到其他线程调用此对象的 notify() 方法或 notifyAll() 方法，或者超过指定的时间量。 
当前的线程必须拥有此对象监视器。 

此方法导致当前线程（称之为 T）将其自身放置在对象的等待集中，然后放弃此对象上的所有同步要求。出于线程调度目的，线程 T 被禁用，且处于休眠状态，直到发生以下四种情况之一： 

·其他某个线程调用此对象的 notify 方法，并且线程 T 碰巧被任选为被唤醒的线程。 
·其他某个线程调用此对象的 notifyAll 方法。 
·其他某个线程中断线程 T。 
·已经到达指定的实际时间。但是，如果 timeout 为零，则不考虑实际时间，该线程将一直等待，直到获得通知。 
然后，从对象的等待集中删除线程 T，并重新进行线程调度。然后，该线程以常规方式与其他线程竞争，以获得在该对象上同步的权利；一旦获得对该对象的控制权，该对象上的所有其同步声明都将被还原到以前的状态??这就是调用 wait 方法时的情况。然后，线程 T 从 wait 方法的调用中返回。所以，从 wait 方法返回时，该对象和线程 T 的同步状态与调用 wait 方法时的情况完全相同。 
在没有被通知、中断或超时的情况下，线程还可以唤醒一个所谓的虚假唤醒 (spurious wakeup)。虽然这种情况在实践中很少发生，但是应用程序必须通过以下方式防止其发生，即对应该导致该线程被提醒的条件进行测试，如果不满足该条件，则继续等待。换句话说，等待应总是发生在循环中，如下面的示例： 

synchronized (obj) {
while (<condition does not hold>)
obj.wait(timeout);
... // Perform action appropriate to condition
     }
 （有关这一主题的更多信息，请参阅 Doug Lea 撰写的《Concurrent Programming in Java (Second Edition)》(Addison-Wesley, 2000) 中的第 3.2.3 节或 Joshua Bloch 撰写的《Effective Java Programming Language Guide》(Addison-Wesley, 2001) 中的第 50 项。 
如果当前线程在等待时被其他线程中断，则会抛出 InterruptedException。在按上述形式恢复此对象的锁定状态时才会抛出此异常。 

注意，由于 wait 方法将当前的线程放入了对象的等待集中，所以它只能解除此对象的锁定；可以同步当前线程的任何其他对象在线程等待时仍处于锁定状态。 

此方法只应由作为此对象监视器的所有者的线程来调用。请参阅 notify 方法，了解线程能够成为监视器所有者的方法的描述。
",Object,"IllegalArgumentException - 如果超时值为负。 
IllegalMonitorStateException - 如果当前的线程不是此对象监视器的所有者。 
InterruptedException - 如果在当前线程等待通知之前或者正在等待通知时，另一个线程中断了当前线程。在抛出此异常时，当前线程的中断状态 被清除。",
wait,,"public final void wait(long timeout,int nanos)","导致当前的线程等待，直到其他线程调用此对象的 notify() 方法或 notifyAll() 方法，或者其他某个线程中断当前线程，或者已超过某个实际时间量。 
此方法类似于一个参数的 wait 方法，但它允许更好地控制在放弃之前等待通知的时间量。用毫微秒度量的实际时间量可以通过以下公式计算出来： 

1000000*timeout+nanos在其他所有方面，此方法执行的操作与带有一个参数的 wait(long) 方法相同。需要特别指出的是，wait(0, 0) 与 wait(0) 相同。 

当前的线程必须拥有此对象监视器。该线程发布对此监视器的所有权，并等待下面两个条件之一发生： 

·其他线程通过调用 notify 方法，或 notifyAll 方法通知在此对象的监视器上等待的线程醒来。 
·timeout 毫秒值与 nanos 毫微秒参数值之和指定的超时时间已用完。 
然后，该线程等到重新获得对监视器的所有权后才能继续执行。 

对于某一个参数的版本，实现中断和虚假唤醒是有可能的，并且此方法应始终在循环中使用： 

synchronized (obj) {
while (<condition does not hold>)
obj.wait(timeout, nanos);
... // Perform action appropriate to condition
     }
 此方法只应由作为此对象监视器的所有者的线程来调用。请参阅 notify 方法，了解线程能够成为监视器所有者的方法的描述。",Object,"IllegalArgumentException - 如果超时值是负数，或者毫微秒值不在 0-999999 范围内。 
IllegalMonitorStateException - 如果当前线程不是此对象监视器的所有者。 
InterruptedException - 如果在当前线程等待通知之前或者正在等待通知时，其他线程中断了当前线程。在抛出此异常时，当前线程的中断状态 被清除。",
wait,,public final void wait(),"导致当前的线程等待，直到其他线程调用此对象的 notify() 方法或 notifyAll() 方法。换句话说，此方法的行为就好像它仅执行 wait(0) 调用一样。 
当前的线程必须拥有此对象监视器。该线程发布对此监视器的所有权并等待，直到其他线程通过调用 notify 方法，或 notifyAll 方法通知在此对象的监视器上等待的线程醒来。然后该线程将等到重新获得对监视器的所有权后才能继续执行。 

对于某一个参数的版本，实现中断和虚假唤醒是可能的，而且此方法应始终在循环中使用： 

synchronized (obj) {
while (<condition does not hold>)
obj.wait();
... // Perform action appropriate to condition
     }
 此方法只应由作为此对象监视器的所有者的线程来调用。请参阅 notify 方法，了解线程能够成为监视器所有者的方法的描述。",Object,"IllegalMonitorStateException - 如果当前的线程不是此对象监视器的所有者。 
InterruptedException - 如果在当前线程等待通知之前或者正在等待通知时，另一个线程中断了当前线程。在抛出此异常时，当前线程的中断状态 被清除。",
finalize,,protected void finalize(),"当垃圾回收器确定不存在对该对象的更多引用时，由对象的垃圾回收器调用此方法。子类重写 finalize 方法，以配置系统资源或执行其他清除。 
finalize 的常规协定是：当 JavaTM 虚拟机已确定尚未终止的任何线程无法再通过任何方法访问此对象时，将调用此方法，除非由于准备终止的其他某个对象或类的终结操作执行了某个操作。finalize 方法可以采取任何操作，其中包括再次使此对象对其他线程可用；不过，finalize 的主要目的是在不可撤消地丢弃对象之前执行清除操作。例如，表示输入/输出连接的对象的 finalize 方法可执行显式 I/O 事务，以便在永久丢弃对象之前中断连接。 

Object 类的 finalize 方法执行非特殊性操作；它仅执行一些常规返回。Object 的子类可以重写此定义。 

Java 编程语言不保证哪个线程将调用某个给定对象的 finalize 方法。但可以保证在调用 finalize 时，调用 finalize 的线程将不会持有任何用户可见的同步锁定。如果 finalize 方法抛出未捕获的异常，那么该异常将被忽略，并且该对象的终结操作将终止。 

在启用某个对象的 finalize 方法后，将不会执行进一步操作，直到 Java 虚拟机再次确定尚未终止的任何线程无法再通过任何方法访问此对象，其中包括由准备终止的其他对象或类执行的可能操作，在执行该操作时，对象可能被丢弃。 

对于任何给定对象，Java 虚拟机最多只调用一次 finalize 方法。 

finalize 方法抛出的任何异常都会导致此对象的终结操作停止，但可以通过其他方法忽略它。",Object,Throwable - 此方法抛出的 Exception,
Observable,,public Observable(),构造一个带有零个观察者的 Observable。 ,Observable,,
addObserver,,public void addObserver(Observer o),如果观察者与集合中已有的观察者不同，则向对象的观察者集合中添加此观察者。未指定向多个观察者发送通知的顺序。请参阅该类的注释。 ,Observable,NullPointerException - 如果参数 o 为 null。,
deleteObserver,,public void deleteObserver(Observer o),从对象的观察者集合中删除某个观察者。向此方法传递 null 将使其无效。 ,Observable,,
notifyObservers,,public void notifyObservers(),"如果 hasChanged 方法指示对象已改变，则通知其所有观察者，并调用 clearChanged 方法来指示此对象不再改变。 
每个观察者都有其 update 方法，其调用参数有两个：observable 对象和 null。换句话说，此方法等效于： 

notifyObservers(null)",Observable,,
notifyObservers,,public void notifyObservers(Object arg),"如果 hasChanged 方法指示对象已改变，则通知其所有观察者，并调用 clearChanged 方法来指示此对象不再改变。 
每个观察者都有其 update 方法，其调用参数有两个：observable 对象和 arg 参数。 ",Observable,,
deleteObservers,,public void deleteObservers(),清除观察者列表，使此对象不再有任何观察者。 ,Observable,,
setChanged,,protected void setChanged(),标记此 Observable 对象为已改变的对象；现在 hasChanged 方法将返回 true。 ,Observable,,
clearChanged,,protected void clearChanged(),指示对象不再改变，或者它已对其所有的观察者通知了最近的改变，所以 hasChanged 方法将返回 false。notifyObservers 方法自动调用此方法。 ,Observable,,
hasChanged,,public boolean hasChanged(),测试对象是否改变。 ,Observable,,
countObservers,,public int countObservers(),返回 Observable 对象的观察者数目。 ,Observable,,
update,,"void update(Observable o,Object arg)",只要改变了 observable 对象就调用此方法。应用程序调用 Observable 对象的 notifyObservers 方法，以便向所有该对象的观察者通知此改变。 ,Observer,,
getName,,String getName(),"返回操作系统名称。此方法等效于 System.getProperty(""os.name"")。 ",OperatingSystemMXBean,SecurityException - 如果安全管理器存在并且其 checkPropertiesAccess 方法不允许访问此系统属性。,
getArch,,String getArch(),"返回操作系统的架构。此方法等效于 System.getProperty(""os.arch"")。 ",OperatingSystemMXBean,"SecurityException - 如果安全管理器存在并且其 checkPropertiesAccess 方法不允许访问此系统属性。
",
getVersion,,String getVersion(),"返回操作系统的版本。此方法等效于 System.getProperty(""os.version"")。 ",OperatingSystemMXBean,SecurityException - 如果安全管理器存在并且其 checkPropertiesAccess 方法不允许访问此系统属性。,
getAvailableProcessors,,int getAvailableProcessors(),"返回 Java 虚拟机可以使用的处理器数目。此方法等效于 Runtime.availableProcessors() 方法。 
该值在特定的虚拟机调用期间可能更改。",OperatingSystemMXBean,,
OutOfMemoryError,,public OutOfMemoryError(),构造不带详细消息的 OutOfMemoryError。 ,OutOfMemoryError,,
OutOfMemoryError,,public OutOfMemoryError(String s),构造带指定详细消息的 OutOfMemoryError。 ,OutOfMemoryError,,
newPacker,,public static Pack200.Packer newPacker(),"获取一个实现 Packer 的新的类实例。 
·如果定义了系统属性 java.util.jar.Pack200.Packer，那么该值将为具体实现类（必须实现 Packer）的完全限定名称。加载并实例化此类。如果此进程失败，则抛出未指定错误。

·如果尚未用系统属性指定实现，那么实例化系统默认的实现类并返回结果。

注：如果多个线程同时使用返回的对象，则无法保证返回的对象操作正确。多线程应用程序应该分配多个打包器引擎，或者利用一个锁定来顺序使用一个引擎。",Pack200,,
newUnpacker,,public static Pack200.Unpacker newUnpacker(),"获取一个实现 Unpacker 的新的类实例。 
·如果定义了系统属性 java.util.jar.Pack200.Unpacker，那么该值将为具体实现类（必须实现 Unpacker）的完全限定名称。加载并实例化此类。如果此进程失败，则抛出未指定错误。

·如果尚未用系统属性指定实现，那么实例化系统默认的实现类并返回结果。

注：如果多个线程同时使用返回的对象，则无法保证返回的对象操作正确。多线程应用程序应该分配多个解包器引擎，或者利用一个锁定来顺序使用一个引擎。",Pack200,,
properties,,"SortedMap<String,String> properties()","获取此引擎属性的集合。此集合是“实时视图”，所以更改其内容可立即影响 Packer 引擎，并且在映射中可立即见到引擎中的变化（如进度指示）。 
属性映射可能包含指定和默认属性的预定义实现。鼓励用户在修改已存在的属性前阅读该信息，并完全理解其含意。 

特定实现的属性是用与实现者相关的包名称作前缀的，以 com. 或类似前缀开头。以 pack. 和 unpack. 开头的所有属性名称保留给此 API 使用。 

未知属性可以用未指定的错误忽略或拒绝，并且无效的条目可能导致抛出未指定的错误。 

返回的映射实现了所有可选的 SortedMap 操作。",Pack200.Packer,,
pack,,"void pack(JarFile in,java.io.OutputStream out)","接收 JarFile 并将其转换为 Pack200 存档。 
关闭其输入，但并不关闭其输出。（Pack200 存档是可追加的。） ",Pack200.Packer,java.io.IOException - 如果遇到错误,
addPropertyChangeListener,,void addPropertyChangeListener(java.beans.PropertyChangeListener listener),为属性映射上的 PropertyChange 事件注册一个侦听器。通常应用程序使用它来更新进度条。 ,Pack200.Packer,,
removePropertyChangeListener,,void removePropertyChangeListener(java.beans.PropertyChangeListener listener),移除由 addPropertyChangeListener(java.beans.PropertyChangeListener) 所添加的 PropertyChange 事件侦听器。 ,Pack200.Packer,,
properties,,"SortedMap<String,String> properties()","获取此引擎属性的集合。此集合是“实时视图”，所以更改其内容可立即影响 Packer 引擎，并且在映射中可立即见到引擎中的变化（如进度指示）。 
属性映射可能包含指定和默认属性的预定义实现。鼓励用户在修改已存在的属性前阅读该信息，并完全理解其含意。 

特定实现的属性是用与实现者相关的包名称作前缀的，以 com. 或类似前缀开头。以 pack. 和 unpack. 开头的所有属性名称保留给此 API 使用。 

未知的属性可以用未指定的错误忽略或拒绝，并且无效的条目可能导致抛出未指定的错误。",Pack200.Unpacker,,
unpack,,"void unpack(java.io.InputStream in,JarOutputStream out)","读取 Pack200 存档，并将已编码的 JAR 写入 JarOutputStream。将读取输入流的全部内容。使用下面描述的替代方法将 Pack200 存档读取到文件中并传递 File 对象可能更加高效。 
关闭其输入，但并不关闭其输出。（输出可以累积更多元素。）",Pack200.Unpacker,java.io.IOException - 如果遇到错误。,
unpack,,"void unpack(java.io.File in,JarOutputStream out)","读取 Pack200 存档，并将已编码的 JAR 写入 JarOutputStream。 
不关闭其输出。（输出可以累积更多元素。）",Pack200.Unpacker,java.io.IOException - 如果遇到错误。,
addPropertyChangeListener,,void addPropertyChangeListener(java.beans.PropertyChangeListener listener),为属性映射上的 PropertyChange 事件注册一个侦听器。通常应用程序使用它来更新进度条。,Pack200.Unpacker,,
removePropertyChangeListener,,void removePropertyChangeListener(java.beans.PropertyChangeListener listener),移除由 addPropertyChangeListener(java.beans.PropertyChangeListener) 所添加的 PropertyChange 事件侦听器。 ,Pack200.Unpacker,,
getName,,public String getName(),返回此包的名称。 ,Package,,
getSpecificationTitle,,public String getSpecificationTitle(),返回此包实现的规范标题。 ,Package,,
getSpecificationVersion
